7256	3
13352	9846	-18883	
3039	-484	-1442	
7756	3046	-17783	
11085	7601	-18676	
3964	44	-3459	
4660	2274	-10725	
3103	-834	132	
10297	-782	-7961	
15155	2573	-25433	
10530	3704	-6033	
8582	6684	-9963	
4228	3687	-8171	
6474	3588	-9629	
9168	3560	-5988	
12074	219	-24258	
15292	2963	-25406	
4906	7019	-13552	
10016	1831	-11762	
9486	-94	-5466	
6399	1193	-10619	
6735	4216	-11959	
5970	-568	-1988	
9489	-609	-3701	
9608	400	-6306	
5793	2066	-17679	
7150	6316	-11908	
5933	-1134	-443	
12691	5009	-34770	
6223	-157	-3368	
6564	2710	-12202	
8560	6018	-6350	
12643	-5634	-1937	
12956	6086	-29334	
5971	-573	-2010	
4949	2159	-13982	
12884	4262	-10787	
